trialN	eyeLXraw	eyeLYraw	eyeLZraw	eyeRXraw	eyeRYraw	eyeRZraw	indexXraw	indexYraw	indexZraw	thumbXraw	thumbYraw	thumbZraw	fingerAtStart	isStimulusDrawn	graspPhase
0	-30.5	0	0	30.5	0	0	277.572884	-379.524541	11.434472	278.020273	-379.51196	12.42337	1	1	0
0	-30.5	0	0	30.5	0	0	277.469521	-379.677869	11.378107	277.814857	-379.500294	12.469078	1	1	0
0	-30.5	0	0	30.5	0	0	277.373283	-379.759459	11.361038	277.836276	-379.549734	12.460564	1	1	0
0	-30.5	0	0	30.5	0	0	277.338985	-379.857062	11.341468	277.885951	-379.435694	12.427714	1	1	0
0	-30.5	0	0	30.5	0	0	277.47796	-379.677567	11.382327	277.951906	-379.435404	12.42696	1	1	0
0	-30.5	0	0	30.5	0	0	277.426246	-379.73264	11.357035	277.959013	-379.490363	12.436878	1	1	0
0	-30.5	0	0	30.5	0	0	277.491456	-379.673927	11.364122	278.031313	-379.626918	12.442771	1	1	0
0	-30.5	0	0	30.5	0	0	277.457674	-379.706928	11.354267	278.056873	-379.428968	12.397334	1	1	0
0	-30.5	0	0	30.5	0	0	277.513695	-379.619492	11.385295	278.039716	-379.334925	12.386675	1	1	0
0	-30.5	0	0	30.5	0	0	277.485072	-379.653814	11.368069	278.121968	-379.370758	12.36554	1	1	0
0	-30.5	0	0	30.5	0	0	277.458143	-379.647949	11.367082	277.968287	-379.3594	12.394579	1	1	0
0	-30.5	0	0	30.5	0	0	277.464712	-379.649749	11.367081	277.991481	-379.243008	12.373459	1	1	0
0	-30.5	0	0	30.5	0	0	277.472509	-379.738974	11.334559	278.079424	-379.336789	12.365277	1	1	0
0	-30.5	0	0	30.5	0	0	277.476117	-379.741826	11.33278	278.014847	-379.236988	12.379138	1	1	0
0	-30.5	0	0	30.5	0	0	277.522162	-379.68969	11.353881	277.927621	-379.354912	12.418437	1	1	0
0	-30.5	0	0	30.5	0	0	277.379142	-379.836622	11.315052	278.020795	-379.381298	12.395235	1	1	0
0	-30.5	0	0	30.5	0	0	277.451022	-379.696382	11.360083	277.977409	-379.349732	12.407523	1	1	0
0	-30.5	0	0	30.5	0	0	277.502762	-379.670944	11.363832	278.156984	-379.459234	12.36568	1	1	0
0	-30.5	0	0	30.5	0	0	277.556676	-379.512209	11.416968	278.123422	-379.381468	12.362383	1	1	0
0	-30.5	0	0	30.5	0	0	277.629022	-379.462902	11.430709	277.909536	-379.284466	12.420114	1	1	0
0	-30.5	0	0	30.5	0	0	277.606586	-379.499789	11.415176	278.102457	-379.481908	12.401865	1	1	0
0	-30.5	0	0	30.5	0	0	277.606742	-379.468249	11.424365	278.020935	-379.573769	12.429019	1	1	0
0	-30.5	0	0	30.5	0	0	277.529171	-379.587567	11.390124	277.915734	-379.555192	12.453255	1	1	0
0	-30.5	0	0	30.5	0	0	277.557347	-379.592298	11.384134	278.058382	-379.568167	12.415988	1	1	0
0	-30.5	0	0	30.5	0	0	277.664524	-379.365821	11.455468	278.078853	-379.44155	12.396511	1	1	0
0	-30.5	0	0	30.5	0	0	277.530385	-379.57838	11.387028	277.902618	-379.33219	12.432504	1	1	0
0	-30.5	0	0	30.5	0	0	277.471712	-379.662966	11.363252	277.911044	-379.393255	12.439081	1	1	0
0	-30.5	0	0	30.5	0	0	277.44012	-379.689198	11.373812	278.149162	-379.540706	12.394786	1	1	0
0	-30.5	0	0	30.5	0	0	277.442136	-379.665836	11.384953	278.101091	-379.456179	12.399415	1	1	0
0	-30.5	0	0	30.5	0	0	277.460541	-379.631963	11.388708	277.989322	-379.425504	12.42638	1	1	0
0	-30.5	0	0	30.5	0	0	277.417871	-379.699258	11.358142	278.053154	-379.434203	12.422209	1	1	0
0	-30.5	0	0	30.5	0	0	277.477778	-379.655796	11.372779	277.971679	-379.385708	12.444088	1	1	0
0	-30.5	0	0	30.5	0	0	277.440009	-379.73394	11.346392	278.003324	-379.332561	12.416787	1	1	0
0	-30.5	0	0	30.5	0	0	277.565946	-379.559371	11.399347	278.031659	-379.428124	12.422013	1	1	0
0	-30.5	0	0	30.5	0	0	277.617954	-379.449197	11.437617	278.004671	-379.384022	12.415009	1	1	0
0	-30.5	0	0	30.5	0	0	277.492974	-379.624166	11.386395	278.024956	-379.493089	12.426026	1	1	0
0	-30.5	0	0	30.5	0	0	277.516823	-379.650015	11.373609	278.035306	-379.480281	12.42909	1	1	0
0	-30.5	0	0	30.5	0	0	277.488624	-379.729284	11.350208	278.107277	-379.484725	12.41429	1	1	0
0	-30.5	0	0	30.5	0	0	277.517116	-379.599194	11.406909	277.944966	-379.537161	12.462239	1	1	0
0	-30.5	0	0	30.5	0	0	277.563149	-379.552984	11.408804	277.98703	-379.492887	12.444379	1	1	0
0	-30.5	0	0	30.5	0	0	277.588694	-379.528827	11.411717	277.97877	-379.463123	12.44515	1	1	0
0	-30.5	0	0	30.5	0	0	277.560615	-379.570777	11.3909	278.146112	-379.499787	12.402136	1	1	0
0	-30.5	0	0	30.5	0	0	277.488668	-379.663063	11.368207	278.024499	-379.490081	12.432317	1	1	0
0	-30.5	0	0	30.5	0	0	277.545656	-379.591985	11.388895	278.048774	-379.451017	12.431773	1	1	0
0	-30.5	0	0	30.5	0	0	277.626206	-379.439845	11.440108	278.006669	-379.5206	12.443382	1	1	0
0	-30.5	0	0	30.5	0	0	277.511422	-379.616952	11.385205	278.12932	-379.476815	12.397498	1	1	0
0	-30.5	0	0	30.5	0	0	277.50883	-379.665499	11.358386	278.026628	-379.470088	12.430963	1	1	0
0	-30.5	0	0	30.5	0	0	277.520351	-379.635937	11.376735	277.80672	-379.454039	12.487541	1	1	0
0	-30.5	0	0	30.5	0	0	277.527549	-379.592088	11.395729	277.881201	-379.43114	12.449467	1	1	0
0	-30.5	0	0	30.5	0	0	277.505154	-379.626285	11.38779	278.041194	-379.204129	12.374546	1	1	0
0	-30.5	0	0	30.5	0	0	277.458632	-379.704355	11.349319	278.16052	-379.419547	12.381099	1	1	0
0	-30.5	0	0	30.5	0	0	277.739911	-379.307892	11.46298	278.113186	-379.492688	12.404664	1	1	0
0	-30.5	0	0	30.5	0	0	277.555028	-379.542571	11.407044	278.07118	-379.437057	12.41406	1	1	0
0	-30.5	0	0	30.5	0	0	277.461122	-379.754982	11.341374	278.041228	-379.435361	12.414871	1	1	0
0	-30.5	0	0	30.5	0	0	277.613942	-379.530076	11.410568	278.035542	-379.355867	12.405054	1	1	0
0	-30.5	0	0	30.5	0	0	277.595552	-379.520214	11.423892	278.179062	-379.563057	12.409507	1	1	0
0	-30.5	0	0	30.5	0	0	277.640111	-379.441931	11.451306	278.089393	-379.573422	12.432453	1	1	0
0	-30.5	0	0	30.5	0	0	277.551461	-379.568666	11.410697	277.996859	-379.462923	12.427748	1	1	0
0	-30.5	0	0	30.5	0	0	277.610959	-379.51647	11.408418	278.072588	-379.495181	12.423375	1	1	0
0	-30.5	0	0	30.5	0	0	277.574454	-379.504613	11.421213	277.926989	-379.418677	12.447813	1	1	0
0	-30.5	0	0	30.5	0	0	277.599852	-379.482687	11.417662	278.106937	-379.439722	12.401372	1	1	0
0	-30.5	0	0	30.5	0	0	277.453375	-379.681798	11.365036	278.076003	-379.48198	12.422221	1	1	0
0	-30.5	0	0	30.5	0	0	277.301205	-379.886364	11.313512	278.11116	-379.480633	12.410364	1	1	0
0	-30.5	0	0	30.5	0	0	277.52927	-379.58922	11.388501	278.07255	-379.455029	12.419299	1	1	0
0	-30.5	0	0	30.5	0	0	277.608137	-379.534469	11.407607	278.028563	-379.544412	12.446241	1	1	0
0	-30.5	0	0	30.5	0	0	277.676054	-379.459021	11.423034	278.043517	-379.537476	12.436477	1	1	0
0	-30.5	0	0	30.5	0	0	277.576683	-379.572013	11.388938	277.925266	-379.518708	12.461535	1	1	0
0	-30.5	0	0	30.5	0	0	277.507392	-379.729905	11.341886	277.920048	-379.560795	12.4691	1	1	0
0	-30.5	0	0	30.5	0	0	277.480461	-379.737983	11.344998	277.925008	-379.549472	12.470899	1	1	0
0	-30.5	0	0	30.5	0	0	277.509818	-379.663664	11.363795	278.075492	-379.629395	12.451884	1	1	0
0	-30.5	0	0	30.5	0	0	277.463856	-379.774769	11.340817	277.948829	-379.59462	12.465303	1	1	0
0	-30.5	0	0	30.5	0	0	277.52182	-379.630917	11.396271	278.091165	-379.552541	12.427132	1	1	0
0	-30.5	0	0	30.5	0	0	277.568556	-379.608308	11.382924	278.187922	-379.546887	12.404627	1	1	0
0	-30.5	0	0	30.5	0	0	277.635649	-379.554451	11.39437	278.049547	-379.49765	12.42967	1	1	0
0	-30.5	0	0	30.5	0	0	277.747574	-379.396259	11.440294	278.13236	-379.454645	12.398646	1	1	0
0	-30.5	0	0	30.5	0	0	277.666795	-379.517691	11.413796	278.117942	-379.611899	12.423801	1	1	0
0	-30.5	0	0	30.5	0	0	277.612563	-379.558906	11.406619	277.977154	-379.650161	12.475691	1	1	0
0	-30.5	0	0	30.5	0	0	277.570576	-379.602714	11.39881	278.003365	-379.598453	12.458413	1	1	0
0	-30.5	0	0	30.5	0	0	277.42197	-379.793504	11.327538	277.987208	-379.626745	12.468818	1	1	0
0	-30.5	0	0	30.5	0	0	277.528265	-379.644171	11.368296	278.057618	-379.530735	12.428711	1	1	0
0	-30.5	0	0	30.5	0	0	277.598045	-379.627472	11.374585	278.14142	-379.52567	12.40992	1	1	0
0	-30.5	0	0	30.5	0	0	277.498968	-379.691803	11.360161	278.16995	-379.714186	12.42949	1	1	0
0	-30.5	0	0	30.5	0	0	277.502943	-379.702438	11.350535	277.988741	-379.740082	12.475271	1	1	0
0	-30.5	0	0	30.5	0	0	277.54673	-379.725688	11.33607	278.071201	-379.64459	12.442985	1	1	0
0	-30.5	0	0	30.5	0	0	277.64924	-379.558463	11.382692	278.014374	-379.541372	12.441549	1	1	0
0	-30.5	0	0	30.5	0	0	277.468744	-379.755942	11.328595	277.962827	-379.561515	12.468033	1	1	0
0	-30.5	0	0	30.5	0	0	277.417994	-379.831219	11.305272	277.974896	-379.496028	12.44629	1	1	0
0	-30.5	0	0	30.5	0	0	277.573447	-379.616154	11.380828	278.024631	-379.496141	12.430318	1	1	0
0	-30.5	0	0	30.5	0	0	277.546255	-379.681157	11.363464	277.904621	-379.61707	12.466058	1	1	0
0	-30.5	0	0	30.5	0	0	277.284435	-380.008333	11.27488	277.93962	-379.513903	12.442586	1	1	0
0	-30.5	0	0	30.5	0	0	277.464388	-379.77247	11.327135	277.941665	-379.498664	12.45102	1	1	0
0	-30.5	0	0	30.5	0	0	277.455926	-379.73047	11.34764	277.896217	-379.619335	12.483033	1	1	0
0	-30.5	0	0	30.5	0	0	277.47477	-379.752268	11.341532	277.935376	-379.772902	12.497507	1	1	0
0	-30.5	0	0	30.5	0	0	277.389057	-379.863834	11.311309	277.953522	-379.540459	12.455594	1	1	0
0	-30.5	0	0	30.5	0	0	277.586431	-379.581319	11.394239	277.881848	-379.584866	12.482721	1	1	0
0	-30.5	0	0	30.5	0	0	277.560235	-379.630091	11.379858	277.982339	-379.608909	12.458662	1	1	0
0	-30.5	0	0	30.5	0	0	277.447575	-379.708526	11.350576	277.920595	-379.436408	12.450572	1	1	0
0	-30.5	0	0	30.5	0	0	277.521542	-379.639057	11.365911	277.948167	-379.379178	12.445531	1	1	0
0	-30.5	0	0	30.5	0	0	277.496756	-379.711765	11.358666	278.012769	-379.493351	12.435151	1	1	0
0	-30.5	0	0	30.5	0	0	277.546729	-379.64561	11.369564	277.947604	-379.514599	12.452126	1	1	0
0	-30.5	0	0	30.5	0	0	277.511021	-379.641878	11.390106	278.002046	-379.465344	12.438099	1	1	0
0	-30.5	0	0	30.5	0	0	277.491434	-379.685184	11.385944	277.873002	-379.509184	12.492054	1	1	0
0	-30.5	0	0	30.5	0	0	277.505222	-379.672417	11.37814	277.862106	-379.461582	12.475378	1	1	0
0	-30.5	0	0	30.5	0	0	277.46122	-379.696636	11.382435	277.922998	-379.65078	12.487142	1	1	0
0	-30.5	0	0	30.5	0	0	277.44829	-379.726249	11.37212	278.06384	-379.654624	12.451556	1	1	0
0	-30.5	0	0	30.5	0	0	277.540396	-379.615332	11.403874	278.065431	-379.726204	12.455339	1	1	0
0	-30.5	0	0	30.5	0	0	277.325706	-379.93846	11.298818	278.005131	-379.535286	12.446441	1	1	0
0	-30.5	0	0	30.5	0	0	277.44113	-379.783642	11.346852	278.010834	-379.501885	12.431071	1	1	0
0	-30.5	0	0	30.5	0	0	277.450938	-379.732842	11.372639	277.925712	-379.4987	12.453932	1	1	0
0	-30.5	0	0	30.5	0	0	277.51115	-379.692546	11.380032	277.958172	-379.555785	12.462191	1	1	0
0	-30.5	0	0	30.5	0	0	277.538167	-379.633476	11.393598	278.012216	-379.532963	12.454878	1	1	0
0	-30.5	0	0	30.5	0	0	277.495264	-379.698304	11.366424	277.982142	-379.624777	12.478899	1	1	0
0	-30.5	0	0	30.5	0	0	277.480396	-379.693684	11.380925	277.834412	-379.55227	12.492851	1	1	0
0	-30.5	0	0	30.5	0	0	277.362673	-379.859606	11.333518	277.959057	-379.459185	12.439815	1	1	0
0	-30.5	0	0	30.5	0	0	277.329313	-379.861435	11.352254	277.972744	-379.626415	12.459406	1	1	0
0	-30.5	0	0	30.5	0	0	277.472045	-379.706767	11.389995	277.888757	-379.622551	12.49547	1	1	0
0	-30.5	0	0	30.5	0	0	277.626856	-379.488023	11.451715	278.055556	-379.578508	12.448554	1	1	0
0	-30.5	0	0	30.5	0	0	277.490606	-379.650757	11.403193	278.123288	-379.49242	12.409649	1	1	0
0	-30.5	0	0	30.5	0	0	277.470755	-379.702652	11.395281	278.002961	-379.396517	12.433314	1	1	0
0	-30.5	0	0	30.5	0	0	277.330571	-379.990916	11.291003	277.979873	-379.475396	12.440647	1	1	0
0	-30.5	0	0	30.5	0	0	277.271909	-379.978777	11.301752	278.001384	-379.60666	12.455626	1	1	0
0	-30.5	0	0	30.5	0	0	277.33026	-379.855071	11.329256	278.082577	-379.644196	12.447231	1	1	0
0	-30.5	0	0	30.5	0	0	277.403938	-379.712948	11.377986	277.935021	-379.596822	12.469625	1	1	0
0	-30.5	0	0	30.5	0	0	277.465636	-379.673062	11.386306	277.880683	-379.439335	12.469872	1	1	0
0	-30.5	0	0	30.5	0	0	277.556718	-379.573069	11.409744	277.954495	-379.574546	12.468338	1	1	0
0	-30.5	0	0	30.5	0	0	277.603988	-379.458432	11.447928	277.970986	-379.66087	12.475125	1	1	0
0	-30.5	0	0	30.5	0	0	277.466356	-379.683322	11.389822	277.920498	-379.648397	12.49344	1	1	0
0	-30.5	0	0	30.5	0	0	277.483005	-379.71394	11.389266	278.0474	-379.692157	12.462508	1	1	0
0	-30.5	0	0	30.5	0	0	277.51862	-379.608499	11.41791	278.090107	-379.518843	12.426249	1	1	0
0	-30.5	0	0	30.5	0	0	277.520007	-379.660264	11.39615	278.097319	-379.704965	12.461656	1	1	0
0	-30.5	0	0	30.5	0	0	277.653884	-379.417848	11.478171	277.950489	-379.871956	12.512785	1	1	0
0	-30.5	0	0	30.5	0	0	277.498568	-379.619497	11.41713	277.858089	-379.698198	12.516925	1	1	0
0	-30.5	0	0	30.5	0	0	277.508343	-379.659023	11.396445	277.965753	-379.666762	12.501063	1	1	0
0	-30.5	0	0	30.5	0	0	277.527735	-379.647818	11.405274	278.067279	-379.730077	12.472319	1	1	0
0	-30.5	0	0	30.5	0	0	277.583803	-379.530862	11.450968	277.730667	-379.719038	12.556176	1	1	0
0	-30.5	0	0	30.5	0	0	277.498141	-379.666381	11.404273	277.830908	-379.791531	12.555823	1	1	0
0	-30.5	0	0	30.5	0	0	277.419666	-379.756532	11.382581	277.749561	-379.807905	12.58702	1	1	0
0	-30.5	0	0	30.5	0	0	277.522543	-379.500497	11.473327	277.886006	-379.813813	12.542469	1	1	0
0	-30.5	0	0	30.5	0	0	277.450263	-379.651124	11.413108	277.983601	-379.824649	12.528437	1	1	0
0	-30.5	0	0	30.5	0	0	277.673858	-379.376898	11.489705	277.970365	-379.752736	12.518062	1	1	0
0	-30.5	0	0	30.5	0	0	277.471053	-379.65211	11.410521	277.811989	-379.703457	12.559613	1	1	0
0	-30.5	0	0	30.5	0	0	277.577358	-379.453784	11.483646	277.765619	-379.659244	12.561161	1	1	0
0	-30.5	0	0	30.5	0	0	277.533961	-379.539351	11.453924	277.915445	-379.684915	12.51402	1	1	0
0	-30.5	0	0	30.5	0	0	277.516816	-379.479976	11.47568	278.055375	-379.705957	12.475583	1	1	0
0	-30.5	0	0	30.5	0	0	277.634255	-379.258703	11.563286	278.141036	-379.671569	12.449704	1	1	0
0	-30.5	0	0	30.5	0	0	277.659099	-379.29258	11.563304	277.992447	-379.586951	12.476681	1	1	0
0	-30.5	0	0	30.5	0	0	277.5272	-379.539639	11.468133	277.792603	-379.47133	12.513039	1	1	0
0	-30.5	0	0	30.5	0	0	277.520452	-379.501546	11.48893	277.896941	-379.534844	12.478508	1	1	0
0	-30.5	0	0	30.5	0	0	277.506815	-379.446192	11.52634	277.900173	-379.421882	12.452715	1	1	0
0	-30.5	0	0	30.5	0	0	277.400775	-379.601919	11.482102	278.034791	-379.313935	12.39475	1	1	0
0	-30.5	0	0	30.5	0	0	277.316516	-379.777275	11.423895	278.099011	-379.399802	12.369117	1	1	0
0	-30.5	0	0	30.5	0	0	277.306958	-379.778436	11.422147	278.025825	-379.359371	12.371435	1	1	0
0	-30.5	0	0	30.5	0	0	277.410312	-379.655933	11.454147	277.970285	-379.385431	12.382859	1	1	0
0	-30.5	0	0	30.5	0	0	277.465483	-379.565221	11.481772	277.984951	-379.472723	12.391749	1	1	0
0	-30.5	0	0	30.5	0	0	277.610083	-379.297765	11.540292	278.090671	-379.552014	12.372527	1	1	0
0	-30.5	0	0	30.5	0	0	277.63257	-379.202871	11.560175	278.192908	-379.409158	12.321358	1	1	0
0	-30.5	0	0	30.5	0	0	277.704113	-379.06658	11.60739	278.110449	-379.446683	12.356901	1	1	0
0	-30.5	0	0	30.5	0	0	277.59605	-379.19427	11.579095	278.245933	-379.520233	12.33201	1	1	0
0	-30.5	0	0	30.5	0	0	277.720394	-378.93513	11.657239	278.041941	-379.434022	12.37822	1	1	0
0	-30.5	0	0	30.5	0	0	277.695271	-378.988645	11.653229	277.895387	-379.418307	12.402175	1	1	0
0	-30.5	0	0	30.5	0	0	277.646548	-379.053485	11.665236	278.057639	-379.476506	12.380839	1	1	1
0	-30.5	0	0	30.5	0	0	277.540035	-379.227536	11.623722	278.148193	-379.631488	12.39132	1	1	1
0	-30.5	0	0	30.5	0	0	277.864284	-378.851241	11.720633	277.973501	-379.378305	12.398935	1	1	1
0	-30.5	0	0	30.5	0	0	277.757623	-378.963495	11.69409	278.113962	-379.480915	12.391172	1	1	1
0	-30.5	0	0	30.5	0	0	277.67638	-379.054374	11.675438	277.976713	-379.466122	12.414067	1	1	1
0	-30.5	0	0	30.5	0	0	277.764373	-379.008178	11.699191	278.186722	-379.477146	12.366064	1	1	1
0	-30.5	0	0	30.5	0	0	277.706129	-379.14061	11.666123	278.164567	-379.492493	12.375528	1	1	1
0	-30.5	0	0	30.5	0	0	277.751773	-379.090808	11.667551	278.017294	-379.541613	12.426957	1	1	1
0	-30.5	0	0	30.5	0	0	277.681421	-379.224712	11.628159	277.996621	-379.465388	12.425392	1	1	1
0	-30.5	0	0	30.5	0	0	277.774843	-379.212993	11.610802	278.002043	-379.551661	12.436742	1	1	1
0	-30.5	0	0	30.5	0	0	277.664418	-379.349249	11.534078	278.032061	-379.553599	12.437435	1	1	1
0	-30.5	0	0	30.5	0	0	277.470924	-379.542936	11.424499	277.979256	-379.663794	12.471802	1	1	1
0	-30.5	0	0	30.5	0	0	277.490142	-379.680401	11.232396	278.1108	-379.840252	12.382158	1	1	1
0	-30.5	0	0	30.5	0	0	278.010775	-378.972284	11.048699	278.629064	-379.036112	11.841868	1	1	1
0	-30.5	0	0	30.5	0	0	278.628246	-378.491418	10.188035	279.035731	-378.458189	11.17602	1	1	1
0	-30.5	0	0	30.5	0	0	279.47125	-377.727849	9.113556	280.427176	-377.738763	10.112073	1	1	1
0	-30.5	0	0	30.5	0	0	280.879838	-376.516411	7.954115	281.729919	-376.23336	8.953517	1	1	1
0	-30.5	0	0	30.5	0	0	282.749933	-375.059701	6.755933	283.266128	-375.184666	7.863953	1	1	1
0	-30.5	0	0	30.5	0	0	285.341476	-372.830924	5.589932	284.98006	-374.107569	6.634328	1	1	1
0	-30.5	0	0	30.5	0	0	287.697125	-371.068752	3.8192	287.736468	-371.446263	5.047007	1	1	1
0	-30.5	0	0	30.5	0	0	291.160356	-368.095745	2.143007	290.870851	-369.117407	3.568742	1	1	1
0	-30.5	0	0	30.5	0	0	293.533812	-365.943461	-0.135517	293.721189	-366.240376	2.182659	1	1	1
